"sample_ID","sample_name","analyte","group","extraction_sequence","extract_code","extract","fraction","ppb_blank_corr","ug_g","mg_g"
"CRESS_006","61049_53_TOP","La","REEs","Soil Sequence","B","B: water","B: water-extractable",0.23,0,0
"CRESS_006","61049_53_TOP","Ce","REEs","Soil Sequence","B","B: water","B: water-extractable",0.62,0.01,0
"CRESS_006","61049_53_TOP","Pr","REEs","Soil Sequence","B","B: water","B: water-extractable",0.06,0,0
"CRESS_006","61049_53_TOP","Nd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.36,0.01,0
"CRESS_006","61049_53_TOP","Sm","REEs","Soil Sequence","B","B: water","B: water-extractable",0.1,0,0
"CRESS_006","61049_53_TOP","Eu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Gd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.09,0,0
"CRESS_006","61049_53_TOP","Tb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.01,0,0
"CRESS_006","61049_53_TOP","Dy","REEs","Soil Sequence","B","B: water","B: water-extractable",0.07,0,0
"CRESS_006","61049_53_TOP","Ho","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Er","REEs","Soil Sequence","B","B: water","B: water-extractable",0.03,0,0
"CRESS_006","61049_53_TOP","Tm","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Yb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.03,0,0
"CRESS_006","61049_53_TOP","Lu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Sc",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Cr",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Y",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Mo",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_007","61875_3_BTM","Li","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.34,0.03,0
"CRESS_007","61875_3_BTM","Mg","cations","Soil Sequence","B","B: water","B: water-extractable",464.86,9.3,0.01
"CRESS_007","61875_3_BTM","Al","cations","Soil Sequence","B","B: water","B: water-extractable",2149.94,43,0.04
"CRESS_007","61875_3_BTM","Si","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",4454.76,89.1,0.09
"CRESS_007","61875_3_BTM","K","cations","Soil Sequence","B","B: water","B: water-extractable",1044.71,21,0.02
"CRESS_007","61875_3_BTM","Ca","cations","Soil Sequence","B","B: water","B: water-extractable",177.68,3.55,0
"CRESS_007","61875_3_BTM","Mn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",12.96,0.26,0
"CRESS_007","61875_3_BTM","Fe","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",3004.56,60.09,0.06
"CRESS_007","61875_3_BTM","Co","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.34,0.01,0
"CRESS_007","61875_3_BTM","Ni","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.11,0.02,0
"CRESS_007","61875_3_BTM","Cu","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.96,0.04,0
"CRESS_007","61875_3_BTM","Zn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",4.31,0.12,0
"CRESS_007","61875_3_BTM","Sr","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",3.81,0.08,0
"CRESS_007","61875_3_BTM","Ba","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",6.04,0.12,0
"CRESS_007","61875_3_BTM","La","REEs","Soil Sequence","B","B: water","B: water-extractable",0.62,0.01,0
"CRESS_007","61875_3_BTM","Ce","REEs","Soil Sequence","B","B: water","B: water-extractable",1.18,0.02,0
"CRESS_007","61875_3_BTM","Pr","REEs","Soil Sequence","B","B: water","B: water-extractable",0.16,0,0
"CRESS_007","61875_3_BTM","Nd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.72,0.01,0
"CRESS_007","61875_3_BTM","Sm","REEs","Soil Sequence","B","B: water","B: water-extractable",0.14,0,0
"CRESS_007","61875_3_BTM","Eu","REEs","Soil Sequence","B","B: water","B: water-extractable",0.02,0,0
"CRESS_007","61875_3_BTM","Gd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.14,0,0
"CRESS_007","61875_3_BTM","Tb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.02,0,0
"CRESS_007","61875_3_BTM","Dy","REEs","Soil Sequence","B","B: water","B: water-extractable",0.12,0,0
"CRESS_007","61875_3_BTM","Ho","REEs","Soil Sequence","B","B: water","B: water-extractable",0.01,0,0
"CRESS_007","61875_3_BTM","Er","REEs","Soil Sequence","B","B: water","B: water-extractable",0.05,0,0
"CRESS_007","61875_3_BTM","Tm","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_007","61875_3_BTM","Yb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.05,0,0
"CRESS_007","61875_3_BTM","Lu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_007","61875_3_BTM","Sc",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_007","61875_3_BTM","Cr",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_007","61875_3_BTM","Y",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_007","61875_3_BTM","Mo",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_008","61875_3_BTM","Li","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0,0.01,0
"CRESS_008","61875_3_BTM","Mg","cations","Soil Sequence","B","B: water","B: water-extractable",513.95,10.28,0.01
"CRESS_008","61875_3_BTM","Al","cations","Soil Sequence","B","B: water","B: water-extractable",2433.56,48.67,0.05
"CRESS_008","61875_3_BTM","Si","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",4484.19,89.68,0.09
"CRESS_008","61875_3_BTM","K","cations","Soil Sequence","B","B: water","B: water-extractable",1157.88,23.26,0.02
"CRESS_008","61875_3_BTM","Ca","cations","Soil Sequence","B","B: water","B: water-extractable",194.55,3.89,0
"CRESS_008","61875_3_BTM","Mn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",13.18,0.26,0
"CRESS_008","61875_3_BTM","Fe","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",3424.08,68.48,0.07
"CRESS_008","61875_3_BTM","Co","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.37,0.01,0
"CRESS_008","61875_3_BTM","Ni","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.24,0.02,0
"CRESS_008","61875_3_BTM","Cu","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",2.12,0.04,0
"CRESS_008","61875_3_BTM","Zn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",5.39,0.14,0
"CRESS_008","61875_3_BTM","Sr","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",4.33,0.09,0
"CRESS_008","61875_3_BTM","Ba","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",7.23,0.14,0
"CRESS_008","61875_3_BTM","La","REEs","Soil Sequence","B","B: water","B: water-extractable",0.66,0.01,0
"CRESS_008","61875_3_BTM","Ce","REEs","Soil Sequence","B","B: water","B: water-extractable",1.2,0.02,0
"CRESS_008","61875_3_BTM","Pr","REEs","Soil Sequence","B","B: water","B: water-extractable",0.17,0,0
"CRESS_008","61875_3_BTM","Nd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.73,0.01,0
"CRESS_008","61875_3_BTM","Sm","REEs","Soil Sequence","B","B: water","B: water-extractable",0.16,0,0
"CRESS_008","61875_3_BTM","Eu","REEs","Soil Sequence","B","B: water","B: water-extractable",0.03,0,0
"CRESS_008","61875_3_BTM","Gd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.15,0,0
"CRESS_008","61875_3_BTM","Tb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.02,0,0
