,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,34S
44,152,199.06136809885322,199.06120449846944,199.06119703228907,9667245.85393579,76.40967592285611,991205.9144791387,51.01666688151506,-1,0.037506960045680875,0.9997447756345299,0.0,0.599846865380718,4.0,0.5555555555555556,1.3333333333333333,O5,de-protonated,,0.0,,C9 H12 O5,9.0,12.0,5.0,,,,,,,
45,153,199.09775154190592,199.09758791404974,199.0975825416391,9748537.792112797,51.60901527161521,967768.000746686,51.4280916144305,-1,0.026983806494380945,0.9998678912549039,0.0,0.5999207347529424,3.0,0.4,1.6,O4,de-protonated,,0.0,,C10 H16 O4,10.0,16.0,4.0,,,,,,,
46,154,199.13413823110565,199.13397457577483,199.13396805098907,5430131.472793039,45.45879516052452,909043.3140952718,29.10288637043983,-1,0.0327658099943289,0.9998052159708797,0.0,0.5998831295825278,2.0,0.2727272727272727,1.8181818181818181,O3,de-protonated,,0.0,,C11 H20 O3,11.0,20.0,3.0,,,,,,,
47,155,199.17051273322096,199.1703490504249,199.17035356033907,33509836.653850887,98.94608013141051,947818.2441470928,179.727646484115,-1,-0.022643501316287295,0.9998164546471733,0.9759380245766345,0.9902650826189578,1.0,0.16666666666666666,2.0,O2,de-protonated,,0.0,,C12 H24 O2,12.0,24.0,2.0,,,,,,,
48,158,200.17388061580633,200.1737161754816,200.17370839540908,5407155.914256027,91.03923084184075,982272.7463991693,28.637326804246037,-1,0.038866605261886705,0.9997259388164224,0.9759380245766345,0.9902107731205072,1.0,0.16666666666666666,2.0,13C1 O2,de-protonated,,1.0,155.0,C11 H24 O2 13C1,11.0,24.0,2.0,,,,1.0,,,
49,164,201.07700735803763,201.07684223600089,201.07684709674908,8090783.945658708,50.528383046908075,923678.2605208531,43.38365538926801,-1,-0.024173584685090073,0.9998939738682776,0.0,0.5999363843209665,3.0,0.5555555555555556,1.5555555555555556,O5,de-protonated,,0.0,,C9 H14 O5,9.0,14.0,5.0,,,,,,,
50,165,201.1133906321066,201.11322548260918,201.11323260609907,11498311.004085822,78.46317156365511,965768.6772759771,61.107399804599105,-1,-0.03542029433691511,0.9997723808861338,0.0,0.5998634285316803,2.0,0.4,1.8,O4,de-protonated,,0.0,,C10 H18 O4,10.0,18.0,4.0,,,,,,,
51,167,201.1497847784833,201.14961960151723,201.14961811544907,3584256.993795085,72.1324758382325,935423.4020743008,19.039220863994956,-1,0.007387874614637435,0.9999900964543021,0.0,0.5999940578725813,1.0,0.2727272727272727,2.0,O3,de-protonated,,0.0,,C11 H22 O3,11.0,22.0,3.0,,,,,,,
52,172,203.05627571442966,203.05610909882185,203.05611165185908,2587146.47385247,64.38367054707612,1005225.7291422304,13.728593719389027,-1,-0.012573062752440623,0.9999713166570244,0.0,0.5999827899942146,3.0,0.75,1.5,O6,de-protonated,,0.0,,C8 H12 O6,8.0,12.0,6.0,,,,,,,
53,173,203.09266100962307,203.09249436656444,203.09249716120908,7661751.618509843,113.83607287636765,939694.7699991592,41.272396891412434,-1,-0.013760452418297016,0.9999656432722431,0.0,0.5999793859633459,2.0,0.5555555555555556,1.7777777777777777,O5,de-protonated,,0.0,,C9 H16 O5,9.0,16.0,5.0,,,,,,,
54,174,203.12903437056497,203.1288677000647,203.12888267055905,9539929.326812487,55.806525201802074,889278.5104631892,50.930051148269705,-1,-0.07369948657999084,0.999014926220734,0.0,0.5994089557324404,1.0,0.4,2.0,O4,de-protonated,,0.0,,C10 H20 O4,10.0,20.0,4.0,,,,,,,
55,175,204.087902731245,204.0877353374089,204.0877461334091,3336377.0464124335,53.317913892145995,912183.5653958422,17.75622531529811,-1,-0.05289881632518976,0.999492383785538,0.0,0.5996954302713228,2.0,0.625,1.875,N1 O5,de-protonated,,0.0,,C8 H15 O5 N1,8.0,15.0,5.0,1.0,,,,,,
56,176,205.1083172993294,205.10814913588874,205.1081472256691,1934300.6606638685,20.85637052807104,1134845.5818588538,10.215243039624248,-1,0.00931323147143884,0.999984261939703,0.0,0.5999905571638218,1.0,0.5555555555555556,2.0,O5,de-protonated,,0.0,,C9 H18 O5,9.0,18.0,5.0,,,,,,,
57,177,205.15996689911398,205.1597986967232,205.15978887630908,3093298.525195157,39.299434425046925,945923.6920322567,16.424508416650752,-1,0.047867148628812715,0.9995843395828496,0.0,0.5997506037497098,4.0,0.07142857142857142,1.5714285714285714,O1,de-protonated,,0.0,,C14 H22 O1,14.0,22.0,1.0,,,,,,,
