,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
11567,15162,766.2098334373959,766.2089346341482,766.2091245716991,10919087.693571644,294.038665294058,264525.8487807399,58.99566454177812,-1,-0.24789257239890072,0.49445588939807344,0.6536072938689124,0.558116451186409,32.0,0.08163265306122448,0.7551020408163265,N1 S2 O4,de-protonated,,0.0,,C49 H37 O4 N1 S2,49.0,37.0,4.0,1.0,,2.0,,,,,
11568,15162,766.2098334373959,766.2089346341482,766.2087444491789,10919087.693571644,294.038665294058,264525.8487807399,58.99566454177812,-1,0.24821560801454132,0.3296276741906909,0.5879753344784899,0.4329667383058105,37.0,0.0196078431372549,0.6666666666666666,N3 S1 P1 O1,de-protonated,,0.0,,C51 H34 O1 N3 P1 S1,51.0,34.0,1.0,3.0,1.0,1.0,,,,,
11569,15164,766.2828455186996,766.2819466157533,766.281895590399,2016280.6800030803,255.84469800664075,252161.11477437682,10.75046200235905,-1,0.06658822895779422,0.9991957814909009,0.0,0.5995174688945405,30.0,0.0392156862745098,0.8823529411764706,N1 S2 O2,de-protonated,,0.0,,C51 H45 O2 N1 S2,51.0,45.0,2.0,1.0,,2.0,,,,,
11570,15164,766.2828455186996,766.2819466157533,766.282028532129,2016280.6800030803,255.84469800664075,252161.11477437682,10.75046200235905,-1,-0.10690107893749168,0.9979285816758094,0.0,0.5987571490054856,17.0,0.25,1.25,N1 S1 P1 O10,de-protonated,,0.0,,C40 H50 O10 N1 P1 S1,40.0,50.0,10.0,1.0,1.0,1.0,,,,,
11571,15166,767.0381592807995,767.0372593463582,767.037345822819,1893504.9504476844,287.37739950014844,260326.59021207585,10.231050837032047,-1,-0.11274087413859814,0.9976963530961219,0.0,0.5986178118576732,24.0,0.6666666666666666,0.6060606060606061,O22,de-protonated,,0.0,,C33 H20 O22,33.0,20.0,22.0,,,,,,,,
11572,15167,767.0746564980201,767.0737565137314,767.073731332169,6547174.281481551,401.95231235474427,262543.5907592745,35.58101394480974,-1,0.03282808592658158,0.9981282290028645,0.9849236541898884,0.992846399077674,23.0,0.6176470588235294,0.7058823529411765,O21,de-protonated,,0.0,,C34 H24 O21,34.0,24.0,21.0,,,,,,,,
11573,15168,767.0959164579076,767.095016444582,767.0948607002291,3233716.345775533,252.98194249983456,237298.03427916602,17.060295821149698,-1,0.20303141228384644,0.9925482696666077,0.0,0.5955289617999646,18.0,0.7419354838709677,0.9032258064516129,O23,de-protonated,,0.0,,C31 H28 O23,31.0,28.0,23.0,,,,,,,,
11574,15169,767.1109954643604,767.1100954304397,767.110116841519,6328222.666453031,127.86167912209253,285911.5571529437,33.55665951994437,-1,-0.02791135040971752,0.995006759794143,0.9652678505996772,0.9831111961163567,22.0,0.5714285714285714,0.8,O20,de-protonated,,0.0,,C35 H28 O20,35.0,28.0,20.0,,,,,,,,
11575,15170,767.1326171526248,767.1317170891731,767.1316025251991,1792104.7745820354,219.17845284011548,267855.9429704853,9.607082878684672,-1,0.14934070450106202,0.9959613913818028,0.0,0.5975768348290816,34.0,0.13043478260869565,0.6086956521739131,N2 S2 O6,de-protonated,,0.0,,C46 H28 O6 N2 S2,46.0,28.0,6.0,2.0,,2.0,,,,,
11576,15170,767.1326171526248,767.1317170891731,767.131735466929,1792104.7745820354,219.17845284011548,267855.9429704853,9.607082878684672,-1,-0.023956453632133584,0.9998958699032205,0.0,0.5999375219419323,21.0,0.4,0.9428571428571428,N2 S1 P1 O14,de-protonated,,0.0,,C35 H33 O14 N2 P1 S1,35.0,33.0,14.0,2.0,1.0,1.0,,,,,
