,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,34S
460,1090,323.0775785262665,323.0772428038583,323.0772410199191,16998360.99354582,200.21544586019505,672489.8429692134,92.49427686263436,-1,0.005521711260916473,0.9999948039147972,0.9762117221595084,0.9904815712126817,8.0,0.5333333333333333,1.0666666666666667,O8,de-protonated,,0.0,,C15 H16 O8,15.0,16.0,8.0,,,,,
461,1094,323.1139759971597,323.11364023765054,323.1136265292691,17400153.5513943,226.24718710402658,680595.5875153701,94.00913684448145,-1,0.04242588468508301,0.9995709404245412,0.9722702679469766,0.9886506714335154,7.0,0.4375,1.25,O7,de-protonated,,0.0,,C16 H20 O7,16.0,20.0,7.0,,,,,
462,1097,323.1503646734435,323.1500288768423,323.1500120386191,7099650.279209103,152.4138190320579,698842.3122923478,38.019692370488265,-1,0.052106522106297945,0.9995074718823272,0.0,0.5997044831293963,6.0,0.35294117647058826,1.411764705882353,O6,de-protonated,,0.0,,C17 H24 O6,17.0,24.0,6.0,,,,,
463,1099,323.1867032592572,323.18636742561506,323.1863975479691,1885897.1838163326,86.84296498807502,680228.0705867626,10.170418646241483,-1,-0.09320427545111082,0.9984249901870873,0.0,0.5990549941122524,5.0,0.2777777777777778,1.5555555555555556,O5,de-protonated,,0.0,,C18 H28 O5,18.0,28.0,5.0,,,,,
464,1100,323.21912659328706,323.2187907265949,323.2187603053191,2384130.8540812237,170.72105963970506,589327.953497421,12.880426313042202,-1,0.09411977119822945,0.9983939222529302,0.0,0.5990363533517581,0.0,0.42857142857142855,2.2857142857142856,N2 O6,de-protonated,,0.0,,C14 H32 O6 N2,14.0,32.0,6.0,2.0,,,,
465,1101,324.044585189254,324.04424848114826,324.04421034563916,2058857.6991231127,260.11985289636664,534096.1718436556,11.074669305695496,-1,0.1176861301121067,0.9974900862323535,0.9652159556482894,0.9845804339987279,9.0,0.6428571428571429,0.8571428571428571,13C1 O9,de-protonated,,1.0,1089.0,C13 H12 O9 13C1,13.0,12.0,9.0,,,,1.0,
466,1102,324.07284844929984,324.07251171238454,324.0724899921191,1986792.5512359391,86.54527355471464,548355.0773683713,10.752212697240726,-1,0.06702286104521692,0.9991852529927631,0.0,0.5995111517956578,8.0,0.5714285714285714,1.0714285714285714,N1 O8,de-protonated,,0.0,,C14 H15 O8 N1,14.0,15.0,8.0,1.0,,,,
467,1103,324.080934277375,324.08059753221755,324.08059585498904,2226231.146639987,83.89664582482013,712846.3018452513,11.910312176116578,-1,0.00517534382556514,0.999995140056861,0.9762117221595084,0.9904817728979199,8.0,0.5333333333333333,1.0666666666666667,13C1 O8,de-protonated,,1.0,1090.0,C14 H16 O8 13C1,14.0,16.0,8.0,,,,1.0,
468,1105,324.1173356920312,324.11699890976877,324.1169813643391,2368095.653184552,94.59859618734794,664060.3929659686,12.909241584436034,-1,0.05413301579282229,0.9994684271168478,0.9722702679469766,0.9885891634488994,7.0,0.4375,1.25,13C1 O7,de-protonated,,1.0,1094.0,C15 H20 O7 13C1,15.0,20.0,7.0,,,,1.0,
469,1114,325.02045559169716,325.02011788885875,325.02012006567907,5644489.507200467,75.5745779199925,692818.5948551951,30.461858330620743,-1,-0.006697494039601258,0.9999918608934779,0.0,0.5999951165360867,9.0,0.7692307692307693,0.7692307692307693,O10,de-protonated,,0.0,,C13 H10 O10,13.0,10.0,10.0,,,,,
470,1115,325.05684522342926,325.05650748349785,325.0565055750291,12894411.101795234,84.90010329052708,653185.6620709078,70.69346581953066,-1,0.005871190699614046,0.9999521033307492,0.9843392773118137,0.993706972923175,8.0,0.6428571428571429,1.0,O9,de-protonated,,0.0,,C14 H14 O9,14.0,14.0,9.0,,,,,
471,1117,325.0932337905833,325.09289601356,325.0928910843791,26211107.404345654,49.579702120248115,676585.8374220844,140.6185244018925,-1,0.015162376693572921,0.9999716948097301,0.9887842616365835,0.9954967215404715,7.0,0.5333333333333333,1.2,O8,de-protonated,,0.0,,C15 H18 O8,15.0,18.0,8.0,,,,,
472,1121,325.12961726014805,325.129279446038,325.12927659372906,14811259.26323417,173.22069953023882,669466.3260387166,80.715691641461,-1,0.008772845671349302,0.999982792030625,0.9907362023577647,0.9962841561614809,6.0,0.4375,1.375,O7,de-protonated,,0.0,,C16 H22 O7,16.0,22.0,7.0,,,,,
473,1123,325.14820142394075,325.14786359088737,325.14790403833905,2119077.0149255334,112.72974223465899,687116.3230338376,11.366938486975776,-1,-0.12439708569221845,0.9971960861510184,0.0,0.598317651690611,5.0,0.23529411764705882,1.5294117647058822,S1 O4,de-protonated,,0.0,,C17 H26 O4 S1,17.0,26.0,4.0,,,1.0,,
474,1125,325.1660211787598,325.16568332754224,325.1656621030791,7221088.023061404,248.665578032354,648942.0195152813,38.881406200741864,-1,0.06527276892774293,0.9992272303771188,0.0,0.5995363382262713,5.0,0.35294117647058826,1.5294117647058822,O6,de-protonated,,0.0,,C17 H26 O6,17.0,26.0,6.0,,,,,
475,1126,325.1846364592448,325.1842985890521,325.18428954768905,27372062.58016143,106.43641808049126,666669.639932694,149.7515932779561,-1,0.027803812631678304,0.9999115239650747,0.9908028161951843,0.9962680408571185,4.0,0.16666666666666666,1.6666666666666667,S1 O3,de-protonated,,0.0,,C18 H30 O3 S1,18.0,30.0,3.0,,,1.0,,
